Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	partition_rate[1]	partition_rate[2]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	tree_length
0	-285.6053	-370.808	85.20274	0.00964804	0.0482864	0.010533	0.0633965	0.00204418	0.00284419	0.0143696	0.019503	0.00996297	0.00333303	0.0257518	0.0120643	0.00273756	0.0116373	0.0121531	0.00427021	0.00168653	0.00458575	0.0261082	0.0111476	0.00152558	0.0053556	0.0165058	0.00803908	0.00810783	0.00386427	0.00613349	0.0133905	0.00150597	0.000535368	0.00414091	0.0140999	0.0184286	0.0255882	0.0182096	0.01335	0.0379282	0.0186884	0.00490204	0.00542543	0.00503303	0.0778896	0.00122403	0.0308926	0.0147126	2.91177e-06	0.0210737	0.000273142	0.0475686	0.00408836	0.0175573	0.0109303	0.00746066	0.00925227	0.00895432	0.00649703	0.00649643	0.145771	1.58243	0.0760868	0.284716	0.675751	1.47984	3.51227	13.1429	1.862539	0.06280791	0.0121866	0.0609912	0.0133044	0.0800769	0.00258203	0.00359253	0.0181505	0.0246345	0.0125844	0.00421	0.0325274	0.0152385	0.00345785	0.0146993	0.0153508	0.00539376	0.00213028	0.00579232	0.0329776	0.0140807	0.00192699	0.00676473	0.0208487	0.0101543	0.0102411	0.004881	0.00774729	0.0169137	0.0019022	0.000676231	0.00523043	0.0178098	0.0232773	0.0323208	0.0230007	0.0168626	0.0479076	0.0236056	0.00619182	0.00685293	0.00635729	0.0983834	0.00154609	0.0390209	0.0185837	3.67789e-06	0.0266184	0.000345009	0.0600844	0.00516406	0.0221768	0.0138062	0.00942365	0.0116867	0.0113103	0.00820648	0.00820573	0.7916951
36	-291.3766	-375.9261	84.54942	0.0352404	0.0600853	0.0920135	0.0748688	0.020874	0.0284241	0.00202937	0.0454634	0.0195843	0.00111683	0.0638047	0.00258647	0.00875806	0.0344958	0.0315255	0.0116537	0.050999	0.00372463	0.044634	0.00314477	0.0187882	0.0180073	0.0226258	0.00420347	0.00578798	0.00280979	0.00897564	0.0131327	9.93902e-05	0.0133082	0.0142359	0.0303273	0.0725398	0.0260709	0.00562831	0.0191057	0.0336337	0.0138519	0.006664	0.0960595	0.00883163	0.0481901	0.102172	0.00717137	0.0657719	0.0472562	0.0007029	0.0166271	0.0295506	0.0312881	0.0699091	0.018252	0.0172393	0.022481	0.0811779	0.0355761	0.00893401	0.295204	1.48054	0.19276	0.448024	0.778417	1.28466	2.23203	5.1878	1.190395	0.1359473	0.0210766	0.0359359	0.0550316	0.0447776	0.0124844	0.0169999	0.00121373	0.0271908	0.011713	0.000667955	0.0381604	0.00154692	0.00523803	0.0206313	0.0188548	0.00696986	0.0305015	0.00222763	0.0266947	0.00188083	0.0112369	0.0107699	0.0135321	0.00251401	0.00346168	0.00168048	0.00536816	0.00785444	5.94434e-05	0.00795939	0.0085142	0.0181382	0.0433847	0.0155925	0.00336618	0.0114268	0.0201157	0.00828458	0.00398561	0.0574513	0.00528203	0.0288216	0.0611074	0.00428906	0.0393369	0.0282631	0.000420391	0.00994438	0.0176737	0.0187128	0.0418113	0.0109162	0.0103105	0.0134455	0.0485509	0.0212774	0.00534326	1.672014
72	-279.1208	-364.6743	85.55352	0.00558045	0.0333911	0.0121346	0.0771248	0.0016553	0.00315972	0.00269408	0.0863594	0.0127023	0.00765927	0.0222308	0.0166837	0.0232828	0.0382002	0.00713499	0.0140567	0.00975118	0.0173141	0.0226137	0.00822624	0.00948613	0.0147727	0.000706571	0.00186903	0.00259142	0.00522975	0.000467627	0.00188665	0.00580493	0.00350253	0.0204456	0.015402	0.00912855	0.0465016	0.0235541	0.000917841	0.00690446	0.00843476	0.0103906	0.0313962	0.00441885	0.00378528	0.00781381	0.00322678	0.017496	0.0847958	0.00943525	0.00901401	0.0211961	0.00201149	0.01762	0.074525	0.000648286	0.0121406	0.010112	0.0122712	0.00750028	0.116011	1.60272	0.133787	0.37493	0.736343	1.35806	2.66717	7.47457	1.454457	0.04935256	0.0059407	0.0355466	0.0129179	0.0821036	0.00176216	0.0033637	0.002868	0.0919344	0.0135223	0.00815372	0.0236659	0.0177608	0.0247859	0.0406662	0.00759559	0.0149642	0.0103807	0.0184318	0.0240735	0.00875729	0.0100985	0.0157263	0.000752184	0.00198968	0.00275871	0.00556736	0.000497814	0.00200844	0.00617967	0.00372864	0.0217654	0.0163962	0.00971785	0.0495035	0.0250747	0.000977092	0.00735018	0.00897927	0.0110614	0.033423	0.00470411	0.00402964	0.00831824	0.00343508	0.0186254	0.0902699	0.0100443	0.00959591	0.0225644	0.00214134	0.0187574	0.079336	0.000690136	0.0129244	0.0107648	0.0130634	0.00798446	0.9393592
108	-278.1059	-363.34	85.23402	0.104104	0.0847572	0.00755392	0.0342741	0.000595933	0.0125783	0.0169842	0.0266521	0.0135525	0.00685248	0.0167106	0.00361947	0.0205504	0.027317	0.00314542	0.0109191	0.0259811	0.002215	0.0324532	0.028498	0.0262081	0.0125596	0.00791325	0.0027093	0.0047784	0.000619087	0.00367749	0.00989978	0.0215548	0.0242336	0.0185496	0.0124929	0.0254571	0.0359867	0.0197396	0.0264657	0.00138819	0.00633166	0.00980455	0.0521157	0.00102156	0.00173409	0.0033256	0.000254729	0.0119459	0.056256	0.00189153	0.0124216	0.0240599	0.00215885	0.0589769	0.0462869	0.00169068	0.00817773	0.00836424	0.000267337	0.0173824	0.0926769	1.61863	0.09437	0.316245	0.698259	1.43213	3.1621	10.5966	1.706827	0.03903845	0.098396	0.0801096	0.0071397	0.0323947	0.000563255	0.0118886	0.0160529	0.0251907	0.0128094	0.00647673	0.0157943	0.003421	0.0194235	0.0258191	0.00297294	0.0103204	0.0245564	0.00209354	0.0306736	0.0269353	0.024771	0.0118709	0.00747933	0.00256074	0.00451638	0.00058514	0.00347583	0.00935693	0.0203729	0.0229047	0.0175324	0.0118079	0.0240612	0.0340133	0.0186572	0.0250145	0.00131207	0.00598447	0.00926692	0.049258	0.000965546	0.001639	0.00314324	0.000240761	0.0112908	0.0531713	0.00178781	0.0117405	0.0227406	0.00204047	0.0557429	0.0437488	0.00159797	0.00772931	0.0079056	0.000252677	0.0164292	1.058016
144	-286.8047	-371.7267	84.92196	0.0732757	0.0624554	0.00820138	0.0718252	0.00130183	0.0216236	0.125172	0.0388715	0.00452553	0.0114667	0.0389845	0.0115127	0.0438249	0.0219202	0.0207531	0.0333215	0.0438577	0.00415592	0.0634241	0.0609317	0.0161328	0.043822	0.0436799	0.000404112	0.0259497	0.00424825	0.00955542	0.015794	0.0179665	0.0383405	0.00296571	0.0167653	0.0446288	0.0243063	0.0663959	0.0193816	0.00068018	0.0420519	0.0274025	0.0133755	0.00796129	0.00294148	0.0035563	0.00387767	0.0148116	0.0877205	0.0181989	0.021595	0.00994331	0.0186016	0.0743241	0.054688	0.0251306	0.0543661	0.00285488	0.020765	0.00831394	0.105291	1.61003	0.182202	0.435883	0.771774	1.29572	2.29419	5.4884	1.231124	0.04458868	0.044012	0.0375129	0.00492604	0.0431408	0.000781925	0.0129879	0.0751827	0.0233476	0.0027182	0.0068873	0.0234155	0.00691494	0.0263228	0.0131661	0.0124651	0.0200141	0.0263425	0.0024962	0.0380948	0.0365978	0.00968994	0.0263211	0.0262357	0.000242724	0.0155863	0.00255165	0.00573933	0.00948645	0.0107913	0.0230287	0.00178131	0.0100698	0.0268057	0.0145992	0.0398798	0.0116413	0.000408541	0.0252579	0.0164589	0.00803379	0.00478184	0.00176676	0.00213604	0.00232907	0.00889636	0.0526881	0.0109309	0.0129707	0.00597231	0.0111728	0.0446417	0.0328476	0.0150943	0.0326542	0.00171474	0.0124722	0.00499365	1.664902
180	-280.4038	-364.6476	84.24379	0.00518576	0.156667	0.0905367	0.109429	0.00361891	0.00445775	0.0429521	0.0675927	0.0190539	0.0206801	0.0761894	0.0130768	0.0614466	0.00971693	0.0184345	0.084331	0.0141328	0.00153202	0.136586	0.0304539	0.0448715	0.055992	0.029803	0.00455874	0.00558289	0.00339253	0.00506009	0.00792036	0.0062276	0.0404753	0.00342751	0.0358736	0.0127333	0.208615	0.051668	0.0174105	0.0162847	0.0347886	0.0173936	0.0106916	0.0127097	0.101036	0.00698589	0.0891088	0.011964	0.018361	0.0288221	0.0700217	0.028634	0.0235837	0.0627464	0.0272575	0.0155811	0.0125355	0.0668388	0.000473456	0.00139378	0.10226	1.6121	0.192633	0.44788	0.778339	1.28479	2.23274	5.19122	1.190871	0.04324988	0.00240427	0.0726353	0.0419754	0.0507344	0.00167783	0.00206674	0.0199138	0.0313379	0.00883391	0.00958791	0.0353236	0.00606279	0.0284884	0.00450505	0.00854675	0.0390983	0.00655236	0.000710288	0.0633252	0.0141193	0.0208037	0.0259595	0.0138175	0.00211356	0.00258839	0.00157287	0.002346	0.00367211	0.00288729	0.0187655	0.00158909	0.016632	0.00590354	0.09672	0.0239548	0.008072	0.00755006	0.016129	0.00806418	0.00495692	0.00589257	0.0468433	0.00323886	0.0413134	0.00554687	0.00851269	0.0133628	0.0324641	0.0132756	0.0109341	0.029091	0.0126373	0.00722387	0.0058118	0.0309884	0.000219508	0.000646196	2.156898
216	-280.114	-365.5092	85.3952	0.0024773	0.0346772	0.0177557	0.0268005	0.00219807	0.0012852	0.020157	0.0157503	0.0042733	0.00938996	0.0143507	0.00494611	0.00478335	0.010031	0.00727696	0.0128447	0.00980918	5.95127e-05	0.0389961	0.00639655	0.0256402	0.0141382	0.000520722	0.00368227	0.000375277	0.0103716	0.0129936	0.000654048	0.004774	0.000696386	0.0050596	0.0166379	0.00641893	0.0550817	0.000722451	8.88338e-05	0.0122051	0.00750263	0.0014608	0.00954145	0.0144298	0.0504824	0.0022955	0.0854976	0.00877674	0.0107402	0.0072595	0.0281099	0.00324001	0.0152296	0.0276279	0.00284172	0.00240347	0.00799987	0.0205662	0.00211148	1.83321e-05	0.167512	1.56761	0.0994998	0.324515	0.703906	1.42065	3.08152	10.0503	1.668554	0.0728583	0.00342901	0.0479991	0.0245769	0.0370964	0.00304251	0.00177894	0.0279007	0.0218011	0.00591497	0.0129973	0.0198638	0.00684626	0.00662097	0.0138846	0.0100725	0.0177792	0.0135776	8.23757e-05	0.0539772	0.00885391	0.0354904	0.0195697	0.000720768	0.0050969	0.000519448	0.0143561	0.0179854	0.000905314	0.00660803	0.000963916	0.00700335	0.0230297	0.00888489	0.0762424	0.000999995	0.000122961	0.016894	0.0103849	0.002022	0.013207	0.0199733	0.0698762	0.00317736	0.118343	0.0121485	0.0148662	0.0100484	0.0389089	0.00448472	0.0210804	0.0382417	0.00393342	0.00332681	0.0110732	0.0284671	0.00292265	2.53747e-05	0.7224543
252	-295.9463	-381.9646	86.0183	0.0051034	0.0657126	0.0175035	0.0638465	0.00229254	0.014599	0.00167096	0.0532782	0.0126996	0.00462692	0.0469874	2.59935e-05	0.0179593	0.0141484	0.0120068	0.0132764	0.0386501	0.0165328	0.021293	0.00370448	0.00928306	0.0736532	0.0169072	0.0238848	0.00331852	0.0238788	0.00579019	0.0184052	0.00746262	0.0109385	0.00146749	0.00288488	0.0279643	0.0680214	0.0115752	0.00184436	0.00467304	0.00781281	0.0145334	0.00977134	0.00307687	0.0441442	0.0047795	0.0766856	0.00573293	0.0466396	0.00556585	0.0107625	0.0500874	0.0173219	0.0397167	0.010371	0.0157112	0.0155394	0.0326209	0.00503755	0.00253426	0.0441541	1.65171	0.293506	0.549991	0.829843	1.20505	1.81821	3.40709	0.8863791	0.01822659	0.00441351	0.0568293	0.0151373	0.0552155	0.00198263	0.0126254	0.00144507	0.0460758	0.0109828	0.00400143	0.0406355	2.24796e-05	0.0155315	0.0122357	0.0103836	0.0114816	0.0334253	0.0142978	0.0184145	0.00320369	0.00802814	0.0636965	0.0146216	0.0206559	0.00286991	0.0206507	0.00500745	0.0159171	0.00645379	0.00945975	0.00126911	0.00249489	0.024184	0.0588259	0.0100105	0.00159503	0.00404132	0.00675664	0.0125687	0.00845041	0.00266092	0.0381766	0.00413338	0.0663189	0.00495793	0.0403347	0.00481343	0.00930762	0.0433164	0.0149802	0.0343477	0.00896901	0.0135873	0.0134387	0.0282111	0.00435655	0.00219166	1.156316
288	-289.779	-374.6189	84.83988	0.0109545	0.0511167	0.0235216	0.089129	0.00654636	0.0158959	0.0011846	0.0496195	0.0347211	0.000157799	0.0467281	3.34486e-05	0.0262019	0.0188412	0.0117423	0.00324818	0.0384958	0.0203823	0.03002	0.0108135	0.0162272	0.0585729	0.0185335	0.00143955	0.00681754	0.013482	0.00231648	0.0115212	0.00652006	0.0108864	0.0135575	0.00823765	0.0437895	0.0572323	0.0784885	0.00166855	0.0120495	0.0150627	0.0500979	0.0124416	0.00033476	0.0309076	0.006302	0.0742723	0.011606	0.0506894	0.00931977	0.0107196	0.0260318	0.0181951	0.00639455	0.0380263	0.0120319	0.0146999	0.00987539	0.00416322	0.0197402	0.366376	1.43202	0.16696	0.417701	0.761583	1.31305	2.39406	5.98947	1.294295	0.1744405	0.00861473	0.0401986	0.0184975	0.0700917	0.0051481	0.0125007	0.000931579	0.0390211	0.0273049	0.000124094	0.0367473	2.63042e-05	0.0206053	0.0148168	0.00923421	0.0025544	0.0302734	0.0160288	0.0236079	0.00850383	0.0127612	0.0460621	0.0145749	0.00113208	0.00536136	0.0106024	0.0018217	0.00906034	0.00512742	0.00856112	0.0106617	0.00647814	0.0344364	0.0450079	0.0617239	0.00131216	0.00947582	0.0118454	0.0393973	0.0097842	0.000263257	0.0243059	0.00495594	0.0584083	0.00912706	0.0398625	0.00732914	0.00842996	0.0204716	0.0143088	0.00502872	0.0299041	0.009462	0.0115601	0.00776608	0.00327399	0.0155238	1.271606
324	-277.4458	-362.645	85.19922	0.0103365	0.0722533	0.00251975	0.0700406	0.00126307	0.00976967	0.00576325	0.0439907	0.0146921	0.00435465	0.0157608	0.0081213	0.0201188	0.0068184	0.0278869	0.00774863	0.0179317	0.00606757	0.050802	0.0148015	0.0250974	0.0169565	0.00651994	0.00557829	0.00147151	0.0187678	0.0076077	0.00385761	0.00528048	0.00690191	0.0131441	0.0111506	0.0280588	0.0170626	0.0985176	0.00057462	0.0037693	0.00145722	0.0068433	0.0328652	0.000154263	0.121844	0.00959927	0.0605885	0.0277343	0.00211636	0.010014	0.0160148	0.0239296	0.0064448	0.0104074	0.0248024	0.00950683	0.00906066	0.00755602	0.000213005	0.00663385	0.128696	1.59407	0.102077	0.328588	0.70665	1.41513	3.04332	9.79651	1.650062	0.05504596	0.00966802	0.0675805	0.00235679	0.065511	0.00118139	0.00913785	0.00539053	0.0411458	0.0137419	0.00407303	0.0147416	0.00759608	0.0188176	0.00637744	0.0260834	0.00724751	0.016772	0.00567517	0.0475166	0.0138443	0.0234743	0.0158599	0.00609828	0.00521753	0.00137635	0.0175541	0.00711569	0.00360813	0.00493898	0.00645555	0.012294	0.0104295	0.0262442	0.0159591	0.0921463	0.000537459	0.00352553	0.00136297	0.00640073	0.0307397	0.000144287	0.113964	0.00897847	0.0566702	0.0259406	0.00197949	0.00936636	0.0149791	0.022382	0.00602801	0.00973434	0.0231984	0.00889201	0.00847469	0.00706736	0.000199229	0.00620482	1.069143
